DEPLOYMENT_PROVINCE,1965 Mar,1965 Apr,1965 May,1965 Jun,1965 Jul,1965 Aug,1965 Sep,1965 Oct,1965 Nov,1965 Dec,1966 Jan,1966 Feb,1966 Mar,1966 Apr,1966 May,1966 Jun,1966 Jul,1966 Aug,1966 Sep,1966 Oct,1966 Nov,1966 Dec,1967 Jan,1967 Feb,1967 Mar,1967 Apr,1967 May,1967 Jun,1967 Jul,1967 Aug,1967 Sep,1967 Oct,1967 Nov,1967 Dec,1968 Jan,1968 Feb,1968 Mar,1968 Apr,1968 May,1968 Jun,1968 Jul,1968 Aug,1968 Sep,1968 Oct,1968 Nov,1968 Dec,1969 Jan,1969 Feb,1969 Mar,1969 Apr,1969 May,1969 Jun,1969 Jul,1969 Aug,1969 Sep,1969 Oct,1969 Nov,1969 Dec,1970 Jan,1970 Feb,1970 Mar,1970 Apr,1970 May,1970 Jun,1970 Jul,1970 Aug,1970 Sep,1970 Oct,1970 Nov,1970 Dec,1971 Jan,1971 Feb,1971 Mar,1971 Apr,1971 May,1971 Jun,1971 Jul,1971 Aug,1971 Sep,1971 Oct,1971 Nov,1971 Dec,1972 Jan,1972 Feb,1972 Mar,1972 Apr,1972 May,1972 Jun,1972 Jul,1972 Aug,1972 Sep,1972 Oct,1972 Nov,1972 Dec,1973 Jan,1973 Feb,1973 Mar
Lai Chau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lam Dong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,13.0,10.0,0.0,1.0,0.0,0.0,11.0,0.0,9.0,5.0,5.0,2.0,9.0,1.0,3.0,1.0,13.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lao Cai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long An,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,13.0,58.0,46.0,35.0,12.0,27.0,5.0,9.0,30.0,12.0,24.0,30.0,39.0,21.0,29.0,44.0,56.0,34.0,68.0,47.0,42.0,21.0,18.0,15.0,23.0,19.0,19.0,30.0,21.0,23.0,10.0,24.0,6.0,16.0,9.0,13.0,6.0,9.0,6.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nam Dinh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nghe An,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ninh Binh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ninh Thuan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,7.0,4.0,4.0,3.0,4.0,1.0,1.0,7.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,7.0,25.0,2.0,7.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phu Tho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phu Yen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,13.0,7.0,18.0,1.0,4.0,0.0,1.0,0.0,6.0,14.0,3.0,15.0,21.0,16.0,13.0,3.0,4.0,12.0,3.0,2.0,3.0,4.0,10.0,2.0,3.0,11.0,8.0,3.0,5.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,4.0,2.0,2.0,1.0,7.0,6.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
