FATALITY_YEAR,FATALITY_MONTH,DEPLOYMENT_PROVINCE,count
1961,Apr,Ho Chi Minh City|Ho Chi Minh,1
1961,Apr,Unknown,2
1961,Dec,Unknown,1
1961,Jun,Ho Chi Minh City|Ho Chi Minh,1
1961,Mar,Unknown,7
1962,Apr,Ho Chi Minh City|Ho Chi Minh,1
1962,Apr,Unknown,4
1962,Dec,Unknown,2
1962,Feb,Dong Nai,3
1962,Feb,Lam Dong,1
1962,Feb,Unknown,8
1962,Jan,Unknown,3
1962,Jul,Kon Tum,1
1962,Jul,Unknown,5
1962,Jun,Unknown,3
1962,May,Khanh Hoa,1
1962,May,Unknown,2
1962,Nov,An Xugen,2
1962,Nov,Unknown,2
1962,Oct,Dak Lak|Dac Lac,2
1962,Oct,Quang Nam,5
1962,Oct,Quang Tin,2
1962,Oct,Unknown,2
1963,Apr,Kon Tum,2
1963,Apr,Unknown,1
1963,Aug,Dong Nai,1
1963,Aug,Ho Chi Minh City|Ho Chi Minh,1
1963,Aug,Quang Ngai,2
1963,Aug,Unknown,6
1963,Dec,Ba Xugen,2
1963,Dec,Binh Duong,1
1963,Dec,Dak Lak|Dac Lac,1
1963,Dec,Offshore,3
1963,Dec,Unknown,14
1963,Feb,Ba Xugen,1
1963,Feb,Gia Lai,1
1963,Feb,Unknown,6
1963,Jan,Unknown,14
1963,Jul,Unknown,7
1963,Jun,Ho Chi Minh City|Ho Chi Minh,1
1963,Jun,Unknown,4
1963,Mar,Ho Chi Minh City|Ho Chi Minh,1
1963,Mar,Unknown,5
1963,May,Ho Chi Minh City|Ho Chi Minh,2
1963,May,Unknown,4
1963,Nov,Anxuyen,1
1963,Nov,Unknown,4
1963,Oct,Quang Nam,13
1963,Oct,Unknown,9
1963,Sep,Unknown,2
1964,Apr,Quang Nam,1
1964,Apr,Unknown,10
1964,Aug,Dong Nai,1
1964,Aug,Ho Chi Minh City|Ho Chi Minh,1
1964,Aug,Long Khanh,2
1964,Aug,Unknown,12
1964,Dec,Offshore,2
1964,Dec,Unknown,25
1964,Feb,Ho Chi Minh City|Ho Chi Minh,3
1964,Feb,Phong Dinh,1
1964,Feb,Unknown,7
1964,Jan,Ho Chi Minh City|Ho Chi Minh,1
1964,Jan,Offshore,2
1964,Jan,Unknown,9
1964,Jul,Go Cong,1
1964,Jul,Unknown,16
1964,Jun,Unknown,14
1964,Mar,Ba Xugen,1
1964,Mar,Kien Phong,1
1964,Mar,Tay Ninh,1
1964,Mar,Unknown,13
1964,May,Dinh Tuong,1
1964,May,Ho Chi Minh City|Ho Chi Minh,1
1964,May,Unknown,13
1964,Nov,Offshore,2
1964,Nov,Quang Nam,4
1964,Nov,Unknown,11
1964,Oct,Dong Nai,4
1964,Oct,Ho Chi Minh City|Ho Chi Minh,1
1964,Oct,Unknown,21
1964,Sep,Unknown,4
1965,Apr,Binh Dinh,1
1965,Apr,Chuong Thien,1
1965,Apr,Ho Chi Minh City|Ho Chi Minh,1
1965,Apr,Khanh Hoa,1
1965,Apr,Quang Nam,3
1965,Apr,Thua Thien - Hue,2
1965,Apr,Unknown,30
1965,Aug,Binh Dinh,5
1965,Aug,Khanh Hoa,3
1965,Aug,Offshore,1
1965,Aug,Quang Nam,19
1965,Aug,Quang Tin,56
1965,Aug,Quang Tri,3
1965,Aug,Unknown,23
1965,Dec,Binh Dinh,3
1965,Dec,Binh Duong,1
1965,Dec,Gia Lai,1
1965,Dec,Ho Chi Minh City|Ho Chi Minh,2
1965,Dec,Hua Nghia,1
1965,Dec,Khanh Hoa,1
1965,Dec,Kon Tum,2
1965,Dec,Ninh Thuan,9
1965,Dec,Offshore,1
1965,Dec,Quang Nam,62
1965,Dec,Quang Tin,39
1965,Dec,Thua Thien - Hue,2
1965,Dec,Tuyen Duc,2
1965,Dec,Unknown,153
1965,Feb,Binh Dinh,1
1965,Feb,Dong Nai,2
1965,Feb,Khanh Hoa,2
1965,Feb,Quang Nam,1
1965,Feb,Unknown,43
1965,Jan,Dong Nai,1
1965,Jan,Ho Chi Minh City|Ho Chi Minh,2
1965,Jan,Quang Nam,1
1965,Jan,Unknown,14
1965,Jul,Binh Dinh,2
1965,Jul,Ho Chi Minh City|Ho Chi Minh,1
1965,Jul,Khanh Hoa,1
1965,Jul,Kon Tum,1
1965,Jul,Offshore,3
1965,Jul,Phu Bon,1
1965,Jul,Phuoc Long,6
1965,Jul,Quang Nam,24
1965,Jul,Quang Tin,14
1965,Jul,Tay Ninh,1
1965,Jul,Unknown,41
1965,Jun,Dong Nai,1
1965,Jun,Gia Lai,8
1965,Jun,Ho Chi Minh City|Ho Chi Minh,5
1965,Jun,Khanh Hoa,2
1965,Jun,Offshore,17
1965,Jun,Phu Bon,2
1965,Jun,Phu Yen,1
1965,Jun,Quang Nam,20
1965,Jun,Quang Ngai,1
1965,Jun,Quang Tin,12
1965,Jun,Thua Thien - Hue,1
1965,Jun,Unknown,46
1965,Mar,Gia Lai,1
1965,Mar,Khanh Hoa,3
1965,Mar,Ninh Thuan,1
1965,Mar,Offshore,1
1965,Mar,Phong Dinh,2
1965,Mar,Quang Nam,5
1965,Mar,Unknown,5
1965,May,Dong Nai,26
1965,May,Ho Chi Minh City|Ho Chi Minh,3
1965,May,Offshore,2
1965,May,Quang Nam,6
1965,May,Quang Ngai,1
1965,May,Quang Tin,6
1965,May,Unknown,35
1965,Nov,Binh Dinh,1
1965,Nov,Binh Thuan,1
1965,Nov,Gia Lai,2
1965,Nov,Ho Chi Minh City|Ho Chi Minh,1
1965,Nov,Khanh Hoa,1
1965,Nov,Offshore,1
1965,Nov,Quang Nam,30
1965,Nov,Quang Tin,9
1965,Nov,Thua Thien - Hue,2
1965,Nov,Unknown,453
1965,Oct,Binh Dinh,7
1965,Oct,Khanh Hoa,1
1965,Oct,Offshore,3
1965,Oct,Phu Yen,1
1965,Oct,Quang Nam,47
1965,Oct,Quang Tin,9
1965,Oct,Thua Thien - Hue,5
1965,Oct,Unknown,130
1965,Sep,Ba Xugen,1
1965,Sep,Binh Dinh,4
1965,Sep,Dinh Tuong,1
1965,Sep,Khanh Hoa,1
1965,Sep,Kien Giang,1
1965,Sep,Kon Tum,1
1965,Sep,Offshore,3
1965,Sep,Quang Nam,37
1965,Sep,Quang Tin,10
1965,Sep,Thua Thien - Hue,2
1965,Sep,Unknown,72
1966,Apr,Ho Chi Minh City|Ho Chi Minh,1
1966,Apr,Offshore,1
1966,Apr,Phu Yen,1
1966,Apr,Quang Nam,67
1966,Apr,Quang Ngai,10
1966,Apr,Quang Tin,8
